レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040501,2026.9.19,土,中山,4中5,1,,未勝利,ダート,1200,,2,良(暫定),曇(暫定),16,10:00,,馬齢,２歳
1,,1,ティルベリー,牝,3,8,15.6, , 98,6,53,,*,丸山元気,(美),宮田敬介,ドレフォン,ハーツクライ,,ロイヤルチャージャー系,4,18,3中7,10,１勝ｸﾗｽ・牝*,芝,1800,良,,原優,55.0,,5,22.2,4,0.5,3,2,2,2,2,38.25,33.4,6,ルージュボヤージュ
2,,2,テンクウハット,牝,6,14,68.1, , 92,10,53,▲,,水沼元輝,(美),加藤和宏,モーリス,フジキセキ,,ロイヤルチャージャー系,8,22,3新1,18,１勝ｸﾗｽ・牝,ダ,1800,良,,水沼,53.0,▲,13,182.0,13,4.1,13,6,8,11,12,38.35,40.3,10,タマモチョコチップ
3,,3,ルージュカエラ,牝,5,13,59.9, , 86,12,56,,*,原優介,(美),古賀慎明,レイデオロ,フレンチデピュティ,,ニアークティック系,7,11,1函9,3,１勝ｸﾗｽ・牝,芝,1800,稍,,舟山,55.0,☆,13,219.8,10,0.9,10,8,7,7,7,37.00,35.1,8,ナイスプレーアスク
3,,4,カサビセンス,牝,4,6,14.0, , 94,8,56,,*,ミシェル,(美),新開幸一,ブリックスアンドモルタル,"Dance Brightly",,ネイティヴダンサー系,8,8,2新5,7,１勝ｸﾗｽ・牝,ダ,1800,良,,木幡,56.0,,14,163.7,9,1.4,9,15,15,13,13,38.05,38.9,4,リバースザトレンド
4,,5,ヴァレンティーニ,牝,3,2,3.8, ,113,3,53,,*,津村明秀,(美),新開幸一,ナダル,ゴールドアリュール,,ロイヤルチャージャー系,7,19,1函C,13,１勝ｸﾗｽ・牝,ダ,1700,不,,吉田,53.0,,2,4.4,5,1.4,6,7,5,4,3,36.27,38.0,8,プリンセスアツコ
4,B,6,マタミカンサン,牝,4,1,3.0, ,126,1,56,,*,ルメール,(美),加藤士津,ゴールドドリーム,コマンズ,,ニアークティック系,8,22,3新1,7,１勝ｸﾗｽ・牝,ダ,1800,良,B,坂井,56.0,,2,3.2,2,0.1,5,1,1,1,1,37.40,38.2,3,タマモチョコチップ
5,,7,アスコットヴェール,牝,3,3,7.3, ,110,4,53,,*,横山武史,(美),竹内正洋,モズアスコット,"Street Cry",,ネイティヴダンサー系,7,5,2福4,12,１勝ｸﾗｽ・牝,ダ,1700,良,,坂井,53.0,,2,3.4,14,4.6,6,1,1,2,3,36.44,42.8,15,ヴンダーバール
5,,8,デルマホダカ,牝,3,11,46.8, , 97,7,50,▲,,遠藤汰月,(美),菊沢隆徳,ブリックスアンドモルタル,ホワイトマズル,,ニアークティック系,8,30,2札4,4,１勝ｸﾗｽ,ダ,1700,稍,,遠藤,50.0,▲,10,79.9,4,0.7,9,4,3,3,6,38.07,37.0,5,サマーナイト
6,,9,エウテルペ,牝,4,9,27.2, ,102,5,54,△,,石神深道,(美),和田正一,アドマイヤマーズ,Sightseeing,,ナスルーラ系,7,4,2福3,6,１勝ｸﾗｽ,ダ,1700,稍,,石神,53.0,▲,12,77.4,5,1.3,14,4,4,4,6,36.98,38.4,8,シューティングガイ
6,,10,ビスケットマリー,牝,4,5,13.0, , 87,11,56,,*,大野拓弥,(美),和田雄二,マインドユアビスケッツ,ステイゴールド,,ロイヤルチャージャー系,5,17,1新6,3,１勝ｸﾗｽ,ダ,1800,良,,石神,53.0,▲,9,68.2,8,2.1,10,9,9,9,8,38.55,39.4,6,ゴルデールスカー
7,,11,ジャストキュート,牝,3,12,55.5,>, 81,14,53,,*,黛弘人,(美),武藤善則,ゴールドドリーム,キンシャサノキセキ,,ロイヤルチャージャー系,8,8,2新5,3,未勝利,ダ,1200,良,B,武藤,55.0,,6,27.9,13,3.3,5,,,1,1,34.40,41.8,14,トラスティア
7,,12,キタノエピックアン,牝,3,4,8.5, ,122,2,50,▲,,上里直汰,(美),萱野浩二,ベストウォーリア,ハービンジャー,,ニアークティック系,8,22,3新1,2,１勝ｸﾗｽ・牝,ダ,1800,良,,上里,50.0,▲,1,3.1,4,1.5,1,6,6,5,3,37.70,39.0,7,タマモチョコチップ
8,B,13,エコロストーム,牝,3,7,15.6, , 94,8,53,,*,丹内祐次,(美),千葉直人,ロージズインメイ,デュランダル,ロイヤルチャージャー系,ロイヤルチャージャー系,9,6,4中2,9,１勝ｸﾗｽ,ダ,1800,不,,石神,51.0,△,14,92.5,11,2.0,7,5,7,6,6,37.45,39.3,13,メディチパワー
8,,14,ペプロス,牝,4,10,37.4, , 84,13,55,☆,*,長浜鴻緒,(美),矢野英一,サートゥルナーリア,アグネスタキオン,,ロイヤルチャージャー系,8,16,2新8,5,１勝ｸﾗｽ,芝,1800,良,,石橋,56.0,,11,224.0,10,0.8,10,,,9,9,37.05,33.5,4,キシダンチョウ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040509,2026.9.19,土,中山,4中5,9,カンナＳ,ｵｰﾌﾟﾝ,芝,1200,C,2,良(暫定),曇(暫定),16,14:25,,別定,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,マルモリムソウ,牡,2,8,15.6, ,108,5,55,,,泉谷楓真,(栗),大橋勇樹,ビッグアーサー,ディープインパクト,,ロイヤルチャージャー系,8,30,3名4,7,中京２歳G3,芝,1400,良,,泉谷,55.0,,6,19.0,7,1.2,6,,,3,2,34.65,34.7,8,ジーティーマイカ
2,,2,ジャスパートレノ,牡,2,1,3.2, ,109,4,55,,*,戸崎圭太,(栗),森秀行,Mitole,Mineshaft,,ナスルーラ系,8,30,3名4,3,中京２歳G3,芝,1400,良,,中井,55.0,,7,34.4,4,0.7,7,,,1,1,34.43,34.5,6,ジーティーマイカ
3,,3,ダイシンドラゴン,牡,2,3,5.5, ,118,1,55,,,丹内祐次,(栗),高橋一哉,ビッグアーサー,ハーツクライ,,ロイヤルチャージャー系,7,19,1函C,3,函館２歳G3,芝,1200,重,,丹内,55.0,,8,19.7,3,0.3,13,,,7,6,35.10,35.6,1,フェリチタ
4,,4,セタキト,牡,2,6,11.9, ,110,3,55,,*,田辺裕信,(美),伊坂重信,フォーウィールドライブ,スペシャルウィーク,,ロイヤルチャージャー系,7,19,1函C,5,函館２歳G3,芝,1200,重,,斎藤,55.0,,7,17.9,7,0.7,2,,,5,6,34.80,36.3,7,フェリチタ
5,,5,ダイメイビッグボス,牡,2,5,9.7, ,106,6,55,,*,石神深道,(美),武井亮,サートゥルナーリア,"Into Mischief",,,7,19,1函C,5,函館２歳G3,芝,1200,重,,横山,55.0,,4,9.4,10,1.0,3,,,7,6,35.00,36.4,8,フェリチタ
6,,6,ジオパークカツキ,牡,2,2,4.8,>,111,2,55,,,横山武史,(美),伊藤圭三,ビッグアーサー,Kingman,,,8,15,1札7,初,新馬,芝,1200,良,,横山,55.0,,1,2.7,1,-0.6,1,,,1,1,36.40,34.1,1,(パーフェクトゲーム)
7,,7,ピクニックマーチ,牝,2,9,21.7, ,102,8,55,,,木幡初也,(美),竹内正洋,シスキン,ディープブリランテ,,ロイヤルチャージャー系,8,29,2札3,8,すずらん,芝,1200,稍,,木幡,55.0,,6,14.6,6,0.6,3,,,8,7,34.60,36.6,3,ワールドエンジェル
8,,8,ニシノイサリビ,牡,2,7,12.5, ,101,9,55,,*,内田博幸,(美),斎藤誠,ダノンスマッシュ,ゴールドアリュール,,ロイヤルチャージャー系,8,8,2新5,4,ダリア賞,芝,1400,良,,田辺,55.0,,4,13.3,5,1.7,5,,,8,8,35.40,34.9,5,ルークウォーム
8,,9,ショウナンハーヴェ,牡,2,4,5.6,>,104,7,55,,*,津村明秀,(美),中舘英二,ショウナンバッハ,ダイワメジャー,,ロイヤルチャージャー系,7,18,2福7,3,未勝利*,芝,1200,良,,坂井,55.0,,4,7.6,1,-0.2,5,,,3,3,34.10,35.5,2,(エーアイクワイ)
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040510,2026.9.19,土,中山,4中5,10,九十九里特別,2勝,芝,2500,C,5,良(暫定),曇(暫定),12,15:05,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ノラリクラリ,牡,4,4,6.8, ,111,5,58,,*,佐々木大,(栗),藤岡健一,シュヴァルグラン,ディープインパクト,,ロイヤルチャージャー系,5,31,2東C,4,青嵐賞･2勝,芝,2400,良,,松山,58.0,,3,5.7,7,0.5,4,4,4,6,7,37.00,33.6,2,サトノパトリオット
2,,2,トリニティ,牝,3,2,4.3,+,117,4,53,,*,横山武史,(栗),安田翔伍,サートゥルナーリア,ハーツクライ,,ロイヤルチャージャー系,5,24,2東A,3,優駿牝馬G1,芝,2400,良,,西村,55.0,,9,59.2,10,0.6,13,1,1,1,1,36.93,35.4,15,ジュウリョクピエロ
3,,3,カレンラップスター,牡,4,9,27.0,>,101,9,58,,*,津村明秀,(栗),小林真也,ルーラーシップ,サムライハート,ネイティヴダンサー系,ロイヤルチャージャー系,7,11,2小5,7,英彦山特･1勝,芝,2600,良,,団野,58.0,,6,18.1,1,-0.1,8,3,4,6,4,37.29,35.4,2,(ウインリュクス)
4,B,4,モルトマエストーソ,牡,5,12,76.8, , 93,12,58,,,木幡巧也,(美),手塚貴徳,ドゥラメンテ,"Danehill Dancer",,ニアークティック系,7,11,2福5,39,信夫山特･2勝,芝,2600,良,B,木幡,58.0,,11,86.1,14,5.8,10,3,5,7,13,36.63,41.1,15,サトノソティラス
5,,5,レイヤードレッド,牡,4,10,51.6, , 97,11,58,,*,嶋田純次,(美),手塚貴久,フィエールマン,スニッツェル,,ニアークティック系,7,25,1札1,2,ライラッ･2勝,芝,2600,良,,長浜,58.0,,8,32.6,9,1.2,10,4,4,4,5,37.74,36.4,8,ボンドロア
5,,6,ウイナーズナイン,牡,3,8,16.8,+,102,8,55,,*,横山和生,(栗),小栗実,エピファネイア,リアルインパクト,,,12,27,5中7,4,ホープフG1,芝,2000,良,,西村,56.0,,12,62.0,13,1.3,9,14,13,12,13,37.29,35.3,9,ロブチェン
6,,7,ブリヤディアマンテ,牡,4,11,56.9, ,104,7,58,,*,吉田豊,(美),小島茂之,サトノダイヤモンド,シンボリクリスエス,,ロイヤルチャージャー系,8,16,1札8,6,阿寒湖特･2勝,芝,2600,良,,横山,58.0,,12,156.4,4,1.6,6,9,9,11,9,37.53,35.5,1,ダノンヒストリー
6,,8,リュクスパトロール,牝,3,6,11.4,>, 98,10,53,,,丸田恭介,(美),加藤士津,ビーチパトロール,ジャングルポケット,,ナスルーラ系,7,18,2福7,3,開成山特･1勝,芝,2600,良,,丸田,53.0,,7,30.1,1,-0.3,3,5,5,5,3,37.68,36.0,2,(ノリマル)
7,,9,アロンズロッド,牡,4,1,3.1, ,130,1,58,,*,ルメール,(美),宮田敬介,エピファネイア,ロードカナロア,,,7,19,2福8,7,猪苗代特･2勝,芝,2000,良,,戸崎,58.0,,1,2.8,2,0.0,3,9,10,7,6,36.64,34.7,1,ルールーリマ
7,,10,ダノンピクチャー,牡,4,7,13.5, ,106,6,58,,,小崎綾也,(美),田中博康,ドゥラメンテ,"Dylan Thomas",,ニアークティック系,8,15,2新7,22,阿賀野川･2勝,芝,2200,良,,小崎,58.0,,5,39.6,9,1.9,9,8,9,10,10,35.66,36.1,7,ロードフィレール
8,,11,キンググローリー,牡,3,5,10.0, ,126,2,55,,*,丹内祐次,(美),古賀慎明,ダノンプレミアム,"Duke of Marmalade",,ニアークティック系,7,11,2福5,2,信夫山特･2勝,芝,2600,良,,三浦,55.0,,2,4.3,2,0.0,6,2,2,2,2,36.48,35.8,5,サトノソティラス
8,,12,マイバレンタイン,牡,3,3,6.5, ,118,3,55,,*,戸崎圭太,(栗),池江泰寿,キズナ,"Kitten's Joy",,ニアークティック系,8,9,2名6,9,浜名湖特･2勝,芝,2000,良,,田口,55.0,,1,2.4,3,0.3,3,3,3,3,4,37.37,33.6,4,カリーニョ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040511,2026.9.19,土,中山,4中5,11,ながつきＳ,ｵｰﾌﾟﾝ,ダート,1800,,4,良(暫定),曇(暫定),16,15:45,,別定,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ハナウマビーチ,牡,4,11,29.8, ,101,8,57,,*,横山琉人,(栗),西園翔太,ゴールドドリーム,スキャターザゴールド,,ネイティヴダンサー系,6,20,3東5,12,スレイプ,ダ,2100,不,,木幡,57.0,,13,75.4,9,1.5,7,11,12,13,10,37.52,35.9,8,リアレスト
2,,2,イミグラントソング,牡,4,6,12.3, , 96,11,58,,*,津村明秀,(美),辻哲英,マクフィ,ディープインパクト,,ロイヤルチャージャー系,6,14,3東4,10,パラダＨ(L),芝,1400,良,,石川,57.0,,4,8.4,12,1.5,3,,,12,10,35.63,34.3,8,マイネルチケット
3,,3,モンブランミノル,牡,5,5,8.9, ,114,4,57,,*,佐々木大,(栗),小栗実,キズナ,Congrats,,ナスルーラ系,7,12,2小6,68,阿蘇Ｓ,ダ,1700,良,,松山,57.0,,3,7.1,9,2.9,4,2,2,2,2,36.44,41.0,9,レイナデアルシーラ
3,,4,イムホテプ,牡,4,3,6.5, ,116,2,57,,,横山武史,(美),古賀大生,ニューイヤーズデイ,アグネスタキオン,,ロイヤルチャージャー系,3,8,2中4,11,総武Ｓ,ダ,1800,稍,,横山,57.0,,2,4.9,11,1.2,3,4,4,4,4,37.25,39.4,12,ブレイクフォース
4,,5,カンピオーネ,牡,7,10,27.3, ,103,7,57,,,菊沢一樹,(美),栗田徹,ヘニーヒューズ,ダンシングブレーヴ,,ニアークティック系,7,5,2福4,12,ジュライＨ,ダ,1700,良,,菊沢,55.0,,9,29.0,8,0.7,10,4,6,6,6,36.33,37.9,6,ストレングス
4,,6,レアンダー,牡,5,9,23.3, , 86,13,57,,*,大野拓弥,(栗),大根田裕,シルバーステート,プリサイスエンド,,ネイティヴダンサー系,5,17,3京8,2,栗東ＳＨ(L),ダ,1400,良,,川須,53.0,,13,69.8,14,3.3,16,,,8,10,34.58,39.4,14,タガノミスト
5,,7,マーズオデッセイ,牡,4,1,3.3, ,124,1,57,,*,三浦皇成,(美),田中勝春,アドマイヤマーズ,Freud,,ニアークティック系,8,23,3名2,12,名古屋城Ｈ,ダ,1800,良,,吉村,56.0,,5,11.2,2,0.1,4,8,7,9,9,37.65,37.4,2,トリポリタニア
5,,8,アクションプラン,牡,6,7,14.0, , 99,10,59,,*,丹内祐次,(美),池上昌和,リオンディーズ,タートルボウル,,ニアークティック系,8,8,1札5,11,エルムＳG3,ダ,1700,稍,,浜中,57.0,,9,47.8,11,7.2,11,7,7,10,10,36.87,43.4,11,ルクソールカフェ
6,B,9,ドバイブルース,牡,5,4,7.9,>,111,5,57,,*,丸山元気,(美),加藤征弘,キンシャサノキセキ,Monsun,ロイヤルチャージャー系,その他のエクリプス系,7,12,2福6,2,天の川Ｓ･3勝,ダ,1700,稍,B,坂井,58.0,,2,4.3,1,-0.7,1,2,2,2,2,36.27,36.6,1,(リフレックス)
6,B,10,ショウナンライシン,牡,6,12,40.3, ,101,8,58,,,原優介,(美),大竹正博,エスケンデレヤ,フジキセキ,,ロイヤルチャージャー系,8,29,3新3,8,ＢＳＮ賞(L),ダ,1800,稍,B,原優,58.0,,7,33.3,7,0.6,2,5,5,3,3,37.00,38.6,9,メイショウズイウン
7,,11,バラジ,セ,7,14,65.7,>, 84,14,57,,*,小崎綾也,(栗),井上智史,ヴァンセンヌ,アラジ,,ナスルーラ系,7,26,2新2,4,障害未勝利,障芝,2850,不,,小牧,60.0,,3,6.0,9,3.5,1,12,12,10,10,,13.4,,キャネル
7,,12,マンマリアーレ,牝,6,13,50.2, , 94,12,55,,*,吉田豊,(美),高木登,ゴールドシップ,Bernardini,,ナスルーラ系,8,23,3名2,15,名古屋城Ｈ,ダ,1800,良,,柴田,52.0,,14,83.6,9,0.9,10,11,12,14,13,37.90,37.7,6,トリポリタニア
8,,13,ゴールデンクラウド,牡,4,2,5.1, ,115,3,57,,*,ルメール,(栗),小林真也,"Cloud Computing","Medaglia d'Oro",,ニアークティック系,6,13,3阪3,11,三宮ＳＨ,ダ,1800,良,,西村,56.0,,5,13.7,6,0.7,6,4,5,4,4,37.60,37.1,6,グランドプラージュ
8,,14,ハビレ,牡,5,8,22.2, ,109,6,57,,,岩田康誠,(美),武井亮,ヘニーヒューズ,ブラックタイド,,ロイヤルチャージャー系,8,29,3新3,4,ＢＳＮ賞(L),ダ,1800,稍,,岩田,57.0,,6,8.4,5,0.4,3,8,7,2,2,36.90,38.6,9,メイショウズイウン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040512,2026.9.19,土,中山,4中5,12,,1勝,ダート,1200,,2,良(暫定),曇(暫定),16,16:30,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シュヴァルツシルト,牡,3,3,7.7, ,118,1,56,,,戸崎圭太,(美),田島俊明,ミスチヴィアスアレックス,ワークフォース,,ネイティヴダンサー系,8,9,2新6,9,１勝ｸﾗｽ,ダ,1200,良,,戸崎,56.0,,2,3.4,6,0.4,2,,,3,3,35.20,37.2,6,ゼファーテソーロ
1,B,2,ヴェネチアンキング,牡,3,15,38.5, , 92,13,53,▲,,佐藤翔馬,(美),伊藤圭三,マジェスティックウォリアー,エンパイアメーカー,,ネイティヴダンサー系,9,5,4中1,14,１勝ｸﾗｽ,ダ,1200,重,,佐藤,53.0,▲,--,,消,----,,,,,,,----,,ショウナンタハティ
2,B,3,リアライズタキオン,牡,3,12,29.5, , 97,11,55,☆,*,長浜鴻緒,(美),手塚貴久,ルヴァンスレーヴ,ディープブリランテ,,ロイヤルチャージャー系,8,23,3新2,13,１勝ｸﾗｽ,ダ,1200,良,,嶋田,56.0,,10,52.0,10,2.2,11,,,10,10,36.80,36.5,9,ベルゼビュート
2,,4,ベアハンドキャッチ,牡,3,13,34.1, , 98,10,56,,*,原優介,(美),池上昌和,ミスターメロディ,ネオユニヴァース,,ロイヤルチャージャー系,6,7,3東2,8,１勝ｸﾗｽ,ダ,1400,良,,荻野,55.0,,--,,外,----,,,,,,,----,,フォースミラクル
3,,5,エアサロメ,牝,3,5,9.3, ,117,2,54,,,三浦皇成,(美),大竹正博,ドレフォン,キングカメハメハ,,ネイティヴダンサー系,8,1,2新3,11,１勝ｸﾗｽ,ダ,1200,稍,,三浦,54.0,,1,2.2,4,0.4,1,,,4,3,35.40,37.1,4,フィールマイプラン
3,,6,トモジャオーリー,牝,3,9,13.1, ,116,3,54,,,津村明秀,(美),鈴木伸尋,モズアスコット,ブラックタイド,,ロイヤルチャージャー系,8,2,2新4,4,１勝ｸﾗｽ・牝,ダ,1200,良,,津村,54.0,,2,3.3,5,0.4,2,,,8,7,34.80,37.7,4,レディサン
4,,7,ラベンダーヘイズ,牡,3,6,10.5, ,114,4,56,,,小崎綾也,(美),岩戸孝樹,パドトロワ,ナカヤマフェスタ,,ロイヤルチャージャー系,8,30,3新4,11,１勝ｸﾗｽ,ダ,1200,稍,,小崎,56.0,,3,6.3,3,0.4,6,,,4,4,35.00,36.8,6,ジャックナダル
4,,8,タイセイブルーム,牡,3,2,6.9, , 92,13,54,◇,*,小林美駒,(美),古賀慎明,マテラスカイ,ディープインパクト,,ロイヤルチャージャー系,8,9,2新6,4,１勝ｸﾗｽ,ダ,1200,良,,原優,56.0,,13,54.7,10,1.9,4,,,12,11,36.30,37.6,11,ゼファーテソーロ
5,B,9,プルシャプラ,牡,4,11,26.8, ,100,8,58,,,杉原誠人,(美),池上昌和,エスポワールシチー,タートルボウル,,ニアークティック系,9,5,4中1,4,１勝ｸﾗｽ,ダ,1200,重,B,杉原,58.0,,10,74.2,5,0.7,3,,,9,10,34.90,36.6,4,ショウナンタハティ
5,,10,アースミューズ,牝,4,8,11.3, ,100,8,56,,,松岡正海,(美),粕谷昌央,フリオーソ,サウスヴィグラス,ロイヤルチャージャー系,ネイティヴダンサー系,7,26,2新2,3,１勝ｸﾗｽ,ダ,1200,重,,松岡,56.0,,11,64.1,7,1.4,14,,,5,6,35.20,37.2,10,ショコラキュイ
6,B,11,ダノンゴーイチ,牡,6,1,6.2, ,113,5,58,,,菊沢一樹,(美),菊沢隆徳,イスラボニータ,"City Zip",,,7,18,2福7,9,１勝ｸﾗｽ,芝,1200,良,,菊沢,58.0,,5,9.1,4,0.3,8,,,4,5,34.70,34.9,4,コックオーヴァン
6,B,12,ナンナンプー,牝,4,14,34.8, , 89,15,56,,*,武藤雅,(美),水野貴広,フィエールマン,ダイワメジャー,,ロイヤルチャージャー系,8,29,2札3,2,１勝ｸﾗｽ,芝,1200,稍,B,石川,56.0,,12,48.7,13,1.4,14,,,12,13,35.90,34.9,6,ツルノマイハシ
7,,13,トウタツ,牡,4,10,13.7, ,103,6,58,,*,佐々木大,(美),小手川準,ダノンレジェンド,"Shanghai Bobby",,,8,20,園田,16,淀川特,ダ,1400,良,,田山,56.0,☆,3,,3,0.5,,2,2,1,1,,----,,エコロボルト
7,,14,マロンカラノテガミ,牝,4,16,77.1, , 85,16,56,,*,石橋脩,(美),清水英克,ガルボ,マイネルセレクト,,ネイティヴダンサー系,8,22,2札1,2,ニセコ特･1勝,ダ,1700,良,,丹内,56.0,,9,97.2,11,3.5,9,9,9,9,10,37.47,41.0,9,ロングミックス
8,B,15,ロードトライデント,牡,3,4,8.2, ,101,7,56,,*,横山武史,(美),千葉直人,ダノンスマッシュ,ハーツクライ,,ロイヤルチャージャー系,6,21,3東6,10,１勝ｸﾗｽ,ダ,1400,重,B,菊沢,55.0,,3,6.8,13,2.0,3,,,5,5,36.08,36.7,16,タイキブリッツェン
8,,16,ミスバレンシア,牝,3,7,11.1, , 96,12,54,,*,ミシェル,(美),武井亮,ロジャーバローズ,サクラバクシンオー,,ナスルーラ系,7,25,2新1,18,１勝ｸﾗｽ・牝,芝,1400,良,,今村,51.0,◇,9,20.8,17,1.3,8,,,1,1,34.20,36.0,17,ロジャリーマイン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040501,2026.9.19,土,阪神,4阪5,1,,未勝利,ダート,1800,,4,良(暫定),曇(暫定),16,09:45,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,フラッシングルビー,牝,2,3,4.2, ,106,3,55,,,高杉吏麒,(栗),辻野泰之,アドマイヤマーズ,エイシンフラッシュ,,,7,11,2小5,初,新馬・牝,芝,1800,良,,高杉,55.0,,5,15.9,5,0.7,10,8,8,6,4,36.75,36.7,5,フランソワーズ
2,,2,ルボワ,牡,2,4,6.0, ,100,5,55,,,北村友一,(栗),杉山佳明,ブリックスアンドモルタル,ファルブラヴ,,ニアークティック系,8,29,2札3,初,新馬,ダ,1700,稍,,北村,55.0,,9,40.8,8,1.4,12,14,14,14,12,38.67,38.6,2,ユーフォナイト
3,,3,ホシヲミテルンナ,牡,2,1,2.9, ,108,2,55,,,田口貫太,(栗),大根田裕,サンダースノー,キングカメハメハ,,ネイティヴダンサー系,8,22,3名1,初,新馬,ダ,1800,良,,田口,55.0,,8,41.0,2,0.5,8,5,6,5,4,38.05,40.2,2,マルカルーカス
4,,4,ロンバルディア,牡,2,2,3.4, ,106,3,55,,*,岩田望来,(美),伊藤圭三,ルヴァンスレーヴ,キングカメハメハ,,ネイティヴダンサー系,8,29,2札3,初,新馬,ダ,1700,稍,,丹内,55.0,,5,15.7,5,0.8,9,11,12,12,10,38.40,38.5,1,ユーフォナイト
5,,5,コパノマハロ,牝,2,6,11.9, , 90,6,55,,,秋山稔樹,(栗),宮徹,リオンディーズ,キングヘイロー,,ニアークティック系,9,5,4阪1,4,未勝利*,芝,1800,稍,,秋山,55.0,,5,34.4,5,0.8,5,,,2,2,36.45,35.2,5,ティフォシ
6,,6,ボビーザグレート,牡,2,5,10.1, ,112,1,55,,,菱田裕二,(栗),柴田卓,シャンハイボビー,ルーラーシップ,,ネイティヴダンサー系,8,29,3名3,8,未勝利*,ダ,1800,稍,,菱田,55.0,,5,17.6,3,1.9,5,6,6,6,6,38.20,39.4,2,オーリエイト
7,,7,アイシテルヨナオミ,牝,2,7,40.6, , 89,7,53,◇,,永島まな,(栗),畑端省吾,マインドユアビスケッツ,ハーツクライ,,ロイヤルチャージャー系,8,15,2名7,6,未勝利*,ダ,1400,良,,永島,53.0,◇,14,237.7,12,2.1,16,,,16,16,36.75,39.2,2,スマートポーション
8,,8,ベルウッドワタル,牡,2,8,62.0, , 89,7,52,▲,*,和田陽希,(栗),杉山晴紀,ルヴァンスレーヴ,ゴールドアリュール,,ロイヤルチャージャー系,9,12,4阪3,初,新馬,ダ,1800,稍,,坂井,55.0,,7,13.2,7,4.8,1,7,6,5,7,39.70,40.9,7,エピドゥブレ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040502,2026.9.19,土,阪神,4阪5,2,,未勝利,芝,2000,B,4,良(暫定),曇(暫定),16,10:15,,馬齢,２歳
